PublicationID,DisplayTitle,Work,IssueNumber,CoverReviewStatus,CoverReviewFlags,CoverReviewNotes,ImageSourceURL,LocalImagePath,SourceNotes
VIEW-warhammer-monthly-52,Warhammer Monthly #52,Warhammer Monthly,52,needs_review,low_resolution_image,Local cover image is only 100x150; use as a placeholder until a larger source is available.,https://wh40k.lexicanum.com/mediawiki/images/thumb/8/85/Warhammer_Monthly_52.jpg/100px-Warhammer_Monthly_52.jpg,assets/covers/display/VIEW-warhammer-monthly-52.jpg,Lexicanum | https://wh40k.lexicanum.com/wiki/Warhammer_Monthly_Issue_52 | confidence=high | Original issue cover verified from the Lexicanum Warhammer Monthly index.
VIEW-warhammer-monthly-53,Warhammer Monthly #53,Warhammer Monthly,53,needs_review,low_resolution_image,Local cover image is only 100x150; use as a placeholder until a larger source is available.,https://wh40k.lexicanum.com/mediawiki/images/thumb/9/9b/Warhammer_Monthly_53.jpg/100px-Warhammer_Monthly_53.jpg,assets/covers/display/VIEW-warhammer-monthly-53.jpg,Lexicanum | https://wh40k.lexicanum.com/wiki/Warhammer_Monthly_Issue_53 | confidence=high | Original issue cover verified from the Lexicanum Warhammer Monthly index.
VIEW-warhammer-monthly-54,Warhammer Monthly #54,Warhammer Monthly,54,needs_review,low_resolution_image,Local cover image is only 99x149; use as a placeholder until a larger source is available.,https://wh40k.lexicanum.com/mediawiki/images/thumb/c/c8/Warhammer_Monthly_54.jpg/99px-Warhammer_Monthly_54.jpg,assets/covers/display/VIEW-warhammer-monthly-54.jpg,Lexicanum | https://wh40k.lexicanum.com/wiki/Warhammer_Monthly_Issue_54 | confidence=high | Original issue cover verified from the Lexicanum Warhammer Monthly index.
VIEW-warhammer-monthly-55,Warhammer Monthly #55,Warhammer Monthly,55,needs_review,low_resolution_image,Local cover image is only 99x150; use as a placeholder until a larger source is available.,https://wh40k.lexicanum.com/mediawiki/images/thumb/4/44/Warhammer_Monthly_55.jpg/99px-Warhammer_Monthly_55.jpg,assets/covers/display/VIEW-warhammer-monthly-55.jpg,Lexicanum | https://wh40k.lexicanum.com/wiki/Warhammer_Monthly_Issue_55 | confidence=high | Original issue cover verified from the Lexicanum Warhammer Monthly index.
VIEW-warhammer-monthly-56,Warhammer Monthly #56,Warhammer Monthly,56,needs_review,low_resolution_image,Local cover image is only 99x150; use as a placeholder until a larger source is available.,https://wh40k.lexicanum.com/mediawiki/images/thumb/c/cf/Warhammer_Monthly_56.jpg/99px-Warhammer_Monthly_56.jpg,assets/covers/display/VIEW-warhammer-monthly-56.jpg,Lexicanum | https://wh40k.lexicanum.com/wiki/Warhammer_Monthly_Issue_56 | confidence=high | Original issue cover verified from the Lexicanum Warhammer Monthly index.
VIEW-warhammer-monthly-57,Warhammer Monthly #57,Warhammer Monthly,57,needs_review,low_resolution_image,Local cover image is only 100x150; use as a placeholder until a larger source is available.,https://wh40k.lexicanum.com/mediawiki/images/thumb/7/73/Warhammer_Monthly_57.jpg/100px-Warhammer_Monthly_57.jpg,assets/covers/display/VIEW-warhammer-monthly-57.jpg,Lexicanum | https://wh40k.lexicanum.com/wiki/Warhammer_Monthly_Issue_57 | confidence=high | Original issue cover verified from the Lexicanum Warhammer Monthly index.
VIEW-warhammer-monthly-58,Warhammer Monthly #58,Warhammer Monthly,58,needs_review,low_resolution_image,Local cover image is only 98x149; use as a placeholder until a larger source is available.,https://wh40k.lexicanum.com/mediawiki/images/thumb/0/01/Warhammer_Monthly_58.jpg/98px-Warhammer_Monthly_58.jpg,assets/covers/display/VIEW-warhammer-monthly-58.jpg,Lexicanum | https://wh40k.lexicanum.com/wiki/Warhammer_Monthly_Issue_58 | confidence=high | Original issue cover verified from the Lexicanum Warhammer Monthly index.
VIEW-warhammer-monthly-59,Warhammer Monthly #59,Warhammer Monthly,59,needs_review,low_resolution_image,Local cover image is only 98x149; use as a placeholder until a larger source is available.,https://wh40k.lexicanum.com/mediawiki/images/thumb/e/e8/Warhammer_Monthly_59.jpg/98px-Warhammer_Monthly_59.jpg,assets/covers/display/VIEW-warhammer-monthly-59.jpg,Lexicanum | https://wh40k.lexicanum.com/wiki/Warhammer_Monthly_Issue_59 | confidence=high | Original issue cover verified from the Lexicanum Warhammer Monthly index.
VIEW-warhammer-monthly-60,Warhammer Monthly #60,Warhammer Monthly,60,needs_review,low_resolution_image,Local cover image is only 99x150; use as a placeholder until a larger source is available.,https://wh40k.lexicanum.com/mediawiki/images/thumb/5/50/Warhammer_Monthly_60.jpg/99px-Warhammer_Monthly_60.jpg,assets/covers/display/VIEW-warhammer-monthly-60.jpg,Lexicanum | https://wh40k.lexicanum.com/wiki/Warhammer_Monthly_Issue_60 | confidence=high | Original issue cover verified from the Lexicanum Warhammer Monthly index.
VIEW-warhammer-monthly-61,Warhammer Monthly #61,Warhammer Monthly,61,needs_review,low_resolution_image,Local cover image is only 99x150; use as a placeholder until a larger source is available.,https://wh40k.lexicanum.com/mediawiki/images/thumb/e/e9/Warhammer_Monthly_61.jpg/99px-Warhammer_Monthly_61.jpg,assets/covers/display/VIEW-warhammer-monthly-61.jpg,Lexicanum | https://wh40k.lexicanum.com/wiki/Warhammer_Monthly_Issue_61 | confidence=high | Original issue cover verified from the Lexicanum Warhammer Monthly index.
VIEW-warhammer-monthly-62,Warhammer Monthly #62,Warhammer Monthly,62,needs_review,low_resolution_image,Local cover image is only 98x149; use as a placeholder until a larger source is available.,https://wh40k.lexicanum.com/mediawiki/images/thumb/d/d4/Warhammer_Monthly_62.jpg/98px-Warhammer_Monthly_62.jpg,assets/covers/display/VIEW-warhammer-monthly-62.jpg,Lexicanum | https://wh40k.lexicanum.com/wiki/Warhammer_Monthly_Issue_62 | confidence=high | Original issue cover verified from the Lexicanum Warhammer Monthly index.
VIEW-warhammer-monthly-63,Warhammer Monthly #63,Warhammer Monthly,63,needs_review,low_resolution_image,Local cover image is only 98x150; use as a placeholder until a larger source is available.,https://wh40k.lexicanum.com/mediawiki/images/thumb/3/32/Warhammer_Monthly_63.jpg/98px-Warhammer_Monthly_63.jpg,assets/covers/display/VIEW-warhammer-monthly-63.jpg,Lexicanum | https://wh40k.lexicanum.com/wiki/Warhammer_Monthly_Issue_63 | confidence=high | Original issue cover verified from the Lexicanum Warhammer Monthly index.
VIEW-warhammer-monthly-64,Warhammer Monthly #64,Warhammer Monthly,64,needs_review,low_resolution_image,Local cover image is only 98x149; use as a placeholder until a larger source is available.,https://wh40k.lexicanum.com/mediawiki/images/thumb/5/53/Warhammer_Monthly_64.jpg/98px-Warhammer_Monthly_64.jpg,assets/covers/display/VIEW-warhammer-monthly-64.jpg,Lexicanum | https://wh40k.lexicanum.com/wiki/Warhammer_Monthly_Issue_64 | confidence=high | Original issue cover verified from the Lexicanum Warhammer Monthly index.
VIEW-warhammer-monthly-65,Warhammer Monthly #65,Warhammer Monthly,65,needs_review,low_resolution_image,Local cover image is only 100x149; use as a placeholder until a larger source is available.,https://wh40k.lexicanum.com/mediawiki/images/thumb/8/8f/Warhammer_Monthly_65.jpg/100px-Warhammer_Monthly_65.jpg,assets/covers/display/VIEW-warhammer-monthly-65.jpg,Lexicanum | https://wh40k.lexicanum.com/wiki/Warhammer_Monthly_Issue_65 | confidence=high | Original issue cover verified from the Lexicanum Warhammer Monthly index.
VIEW-warhammer-monthly-66,Warhammer Monthly #66,Warhammer Monthly,66,needs_review,low_resolution_image,Local cover image is only 97x150; use as a placeholder until a larger source is available.,https://wh40k.lexicanum.com/mediawiki/images/thumb/4/44/Warhammer_Monthly_66.jpg/97px-Warhammer_Monthly_66.jpg,assets/covers/display/VIEW-warhammer-monthly-66.jpg,Lexicanum | https://wh40k.lexicanum.com/wiki/Warhammer_Monthly_Issue_66 | confidence=high | Original issue cover verified from the Lexicanum Warhammer Monthly index.
VIEW-warhammer-monthly-67,Warhammer Monthly #67,Warhammer Monthly,67,needs_review,low_resolution_image,Local cover image is only 100x150; use as a placeholder until a larger source is available.,https://wh40k.lexicanum.com/mediawiki/images/thumb/4/4c/Warhammer_Monthly_67.jpg/100px-Warhammer_Monthly_67.jpg,assets/covers/display/VIEW-warhammer-monthly-67.jpg,Lexicanum | https://wh40k.lexicanum.com/wiki/Warhammer_Monthly_Issue_67 | confidence=high | Original issue cover verified from the Lexicanum Warhammer Monthly index.
VIEW-warhammer-monthly-68,Warhammer Monthly #68,Warhammer Monthly,68,needs_review,low_resolution_image,Local cover image is only 98x150; use as a placeholder until a larger source is available.,https://wh40k.lexicanum.com/mediawiki/images/thumb/3/3c/Warhammer_Monthly_68.jpg/98px-Warhammer_Monthly_68.jpg,assets/covers/display/VIEW-warhammer-monthly-68.jpg,Lexicanum | https://wh40k.lexicanum.com/wiki/Warhammer_Monthly_Issue_68 | confidence=high | Original issue cover verified from the Lexicanum Warhammer Monthly index.
VIEW-warhammer-monthly-69,Warhammer Monthly #69,Warhammer Monthly,69,needs_review,low_resolution_image,Local cover image is only 99x150; use as a placeholder until a larger source is available.,https://wh40k.lexicanum.com/mediawiki/images/thumb/3/36/Warhammer_Monthly_69.jpg/99px-Warhammer_Monthly_69.jpg,assets/covers/display/VIEW-warhammer-monthly-69.jpg,Lexicanum | https://wh40k.lexicanum.com/wiki/Warhammer_Monthly_Issue_69 | confidence=high | Original issue cover verified from the Lexicanum Warhammer Monthly index.
VIEW-warhammer-monthly-70,Warhammer Monthly #70,Warhammer Monthly,70,needs_review,low_resolution_image,Local cover image is only 100x150; use as a placeholder until a larger source is available.,https://wh40k.lexicanum.com/mediawiki/images/thumb/8/83/Warhammer_Monthly_70.jpg/100px-Warhammer_Monthly_70.jpg,assets/covers/display/VIEW-warhammer-monthly-70.jpg,Lexicanum | https://wh40k.lexicanum.com/wiki/Warhammer_Monthly_Issue_70 | confidence=high | Original issue cover verified from the Lexicanum Warhammer Monthly index.
VIEW-warhammer-monthly-71,Warhammer Monthly #71,Warhammer Monthly,71,needs_review,low_resolution_image,Local cover image is only 97x150; use as a placeholder until a larger source is available.,https://wh40k.lexicanum.com/mediawiki/images/thumb/0/01/Warhammer_Monthly_71.jpg/97px-Warhammer_Monthly_71.jpg,assets/covers/display/VIEW-warhammer-monthly-71.jpg,Lexicanum | https://wh40k.lexicanum.com/wiki/Warhammer_Monthly_Issue_71 | confidence=high | Original issue cover verified from the Lexicanum Warhammer Monthly index.
VIEW-warhammer-monthly-72,Warhammer Monthly #72,Warhammer Monthly,72,needs_review,low_resolution_image,Local cover image is only 100x150; use as a placeholder until a larger source is available.,https://wh40k.lexicanum.com/mediawiki/images/thumb/1/1d/Warhammer_Monthly_72.jpg/100px-Warhammer_Monthly_72.jpg,assets/covers/display/VIEW-warhammer-monthly-72.jpg,Lexicanum | https://wh40k.lexicanum.com/wiki/Warhammer_Monthly_Issue_72 | confidence=high | Original issue cover verified from the Lexicanum Warhammer Monthly index.
VIEW-warhammer-monthly-73,Warhammer Monthly #73,Warhammer Monthly,73,needs_review,low_resolution_image,Local cover image is only 100x150; use as a placeholder until a larger source is available.,https://wh40k.lexicanum.com/mediawiki/images/thumb/b/bc/Warhammer_Monthly_73.jpg/100px-Warhammer_Monthly_73.jpg,assets/covers/display/VIEW-warhammer-monthly-73.jpg,Lexicanum | https://wh40k.lexicanum.com/wiki/Warhammer_Monthly_Issue_73 | confidence=high | Original issue cover verified from the Lexicanum Warhammer Monthly index.
VIEW-warhammer-monthly-74,Warhammer Monthly #74,Warhammer Monthly,74,needs_review,low_resolution_image,Local cover image is only 100x150; use as a placeholder until a larger source is available.,https://wh40k.lexicanum.com/mediawiki/images/thumb/e/e8/Warhammer_Monthly_74.jpg/100px-Warhammer_Monthly_74.jpg,assets/covers/display/VIEW-warhammer-monthly-74.jpg,Lexicanum | https://wh40k.lexicanum.com/wiki/Warhammer_Monthly_Issue_74 | confidence=high | Original issue cover verified from the Lexicanum Warhammer Monthly index.
VIEW-warhammer-monthly-75,Warhammer Monthly #75,Warhammer Monthly,75,needs_review,low_resolution_image,Local cover image is only 98x150; use as a placeholder until a larger source is available.,https://wh40k.lexicanum.com/mediawiki/images/thumb/8/87/Warhammer_Monthly_75.jpg/98px-Warhammer_Monthly_75.jpg,assets/covers/display/VIEW-warhammer-monthly-75.jpg,Lexicanum | https://wh40k.lexicanum.com/wiki/Warhammer_Monthly_Issue_75 | confidence=high | Original issue cover verified from the Lexicanum Warhammer Monthly index.
VIEW-warhammer-monthly-76,Warhammer Monthly #76,Warhammer Monthly,76,needs_review,low_resolution_image,Local cover image is only 100x150; use as a placeholder until a larger source is available.,https://wh40k.lexicanum.com/mediawiki/images/thumb/e/e7/Warhammer_Monthly_76.jpg/100px-Warhammer_Monthly_76.jpg,assets/covers/display/VIEW-warhammer-monthly-76.jpg,Lexicanum | https://wh40k.lexicanum.com/wiki/Warhammer_Monthly_Issue_76 | confidence=high | Original issue cover verified from the Lexicanum Warhammer Monthly index.
VIEW-warhammer-monthly-77,Warhammer Monthly #77,Warhammer Monthly,77,needs_review,low_resolution_image,Local cover image is only 100x150; use as a placeholder until a larger source is available.,https://wh40k.lexicanum.com/mediawiki/images/thumb/2/2e/Warhammer_Monthly_77.jpg/100px-Warhammer_Monthly_77.jpg,assets/covers/display/VIEW-warhammer-monthly-77.jpg,Lexicanum | https://wh40k.lexicanum.com/wiki/Warhammer_Monthly_Issue_77 | confidence=high | Original issue cover verified from the Lexicanum Warhammer Monthly index.
VIEW-warhammer-monthly-78,Warhammer Monthly #78,Warhammer Monthly,78,needs_review,low_resolution_image,Local cover image is only 99x149; use as a placeholder until a larger source is available.,https://wh40k.lexicanum.com/mediawiki/images/thumb/0/03/Warhammer_Monthly_78.jpg/99px-Warhammer_Monthly_78.jpg,assets/covers/display/VIEW-warhammer-monthly-78.jpg,Lexicanum | https://wh40k.lexicanum.com/wiki/Warhammer_Monthly_Issue_78 | confidence=high | Original issue cover verified from the Lexicanum Warhammer Monthly index.
VIEW-warhammer-monthly-79,Warhammer Monthly #79,Warhammer Monthly,79,needs_review,low_resolution_image,Local cover image is only 100x150; use as a placeholder until a larger source is available.,https://wh40k.lexicanum.com/mediawiki/images/thumb/0/06/Warhammer_Monthly_79.jpg/100px-Warhammer_Monthly_79.jpg,assets/covers/display/VIEW-warhammer-monthly-79.jpg,Lexicanum | https://wh40k.lexicanum.com/wiki/Warhammer_Monthly_Issue_79 | confidence=high | Original issue cover verified from the Lexicanum Warhammer Monthly index.
VIEW-warhammer-monthly-80,Warhammer Monthly #80,Warhammer Monthly,80,needs_review,low_resolution_image,Local cover image is only 99x149; use as a placeholder until a larger source is available.,https://wh40k.lexicanum.com/mediawiki/images/thumb/c/ca/Warhammer_Monthly_80.jpg/99px-Warhammer_Monthly_80.jpg,assets/covers/display/VIEW-warhammer-monthly-80.jpg,Lexicanum | https://wh40k.lexicanum.com/wiki/Warhammer_Monthly_Issue_80 | confidence=high | Original issue cover verified from the Lexicanum Warhammer Monthly index.
VIEW-warhammer-monthly-81,Warhammer Monthly #81,Warhammer Monthly,81,needs_review,low_resolution_image,Local cover image is only 98x150; use as a placeholder until a larger source is available.,https://wh40k.lexicanum.com/mediawiki/images/thumb/4/4b/Warhammer_Monthly_81.jpg/98px-Warhammer_Monthly_81.jpg,assets/covers/display/VIEW-warhammer-monthly-81.jpg,Lexicanum | https://wh40k.lexicanum.com/wiki/Warhammer_Monthly_Issue_81 | confidence=high | Original issue cover verified from the Lexicanum Warhammer Monthly index.
VIEW-warhammer-monthly-82,Warhammer Monthly #82,Warhammer Monthly,82,needs_review,low_resolution_image,Local cover image is only 99x150; use as a placeholder until a larger source is available.,https://wh40k.lexicanum.com/mediawiki/images/thumb/6/66/Warhammer_Monthly_82.jpg/99px-Warhammer_Monthly_82.jpg,assets/covers/display/VIEW-warhammer-monthly-82.jpg,Lexicanum | https://wh40k.lexicanum.com/wiki/Warhammer_Monthly_Issue_82 | confidence=high | Original issue cover verified from the Lexicanum Warhammer Monthly index.
VIEW-warhammer-monthly-83,Warhammer Monthly #83,Warhammer Monthly,83,needs_review,low_resolution_image,Local cover image is only 98x150; use as a placeholder until a larger source is available.,https://wh40k.lexicanum.com/mediawiki/images/thumb/9/91/Warhammer_Monthly_83.jpg/98px-Warhammer_Monthly_83.jpg,assets/covers/display/VIEW-warhammer-monthly-83.jpg,Lexicanum | https://wh40k.lexicanum.com/wiki/Warhammer_Monthly_Issue_83 | confidence=high | Original issue cover verified from the Lexicanum Warhammer Monthly index.
VIEW-warhammer-monthly-84,Warhammer Monthly #84,Warhammer Monthly,84,needs_review,low_resolution_image,Local cover image is only 98x150; use as a placeholder until a larger source is available.,https://wh40k.lexicanum.com/mediawiki/images/thumb/f/f8/Warhammer_Monthly_84.jpg/98px-Warhammer_Monthly_84.jpg,assets/covers/display/VIEW-warhammer-monthly-84.jpg,Lexicanum | https://wh40k.lexicanum.com/wiki/Warhammer_Monthly_Issue_84 | confidence=high | Original issue cover verified from the Lexicanum Warhammer Monthly index.
VIEW-warhammer-monthly-85,Warhammer Monthly #85,Warhammer Monthly,85,needs_review,low_resolution_image,Local cover image is only 99x150; use as a placeholder until a larger source is available.,https://wh40k.lexicanum.com/mediawiki/images/thumb/7/74/Warhammer_Monthly_85.jpg/99px-Warhammer_Monthly_85.jpg,assets/covers/display/VIEW-warhammer-monthly-85.jpg,Lexicanum | https://wh40k.lexicanum.com/wiki/Warhammer_Monthly_Issue_85 | confidence=high | Original issue cover verified from the Lexicanum Warhammer Monthly index.
VIEW-warhammer-monthly-86,Warhammer Monthly #86,Warhammer Monthly,86,needs_review,low_resolution_image,Local cover image is only 99x150; use as a placeholder until a larger source is available.,https://wh40k.lexicanum.com/mediawiki/images/thumb/0/04/Warhammer_Monthly_86.jpg/99px-Warhammer_Monthly_86.jpg,assets/covers/display/VIEW-warhammer-monthly-86.jpg,Lexicanum | https://wh40k.lexicanum.com/wiki/Warhammer_Monthly_Issue_86 | confidence=high | Original issue cover verified from the Lexicanum Warhammer Monthly index.
VIEW-warhammer-monthly-free-birthday-special-1,Warhammer Monthly Gratis Birthday Issue,Warhammer Monthly,Gratis Birthday Issue,needs_review,low_resolution_image; issue_number_not_in_source,Local cover image is only 100x150; use as a placeholder until a larger source is available. | Could not find issue number Gratis Birthday Issue in the image/source URL text.,https://wh40k.lexicanum.com/mediawiki/images/thumb/f/f4/Warhammer_Monthly_Gratis_Birthday_Issue.jpg/100px-Warhammer_Monthly_Gratis_Birthday_Issue.jpg,assets/covers/display/VIEW-warhammer-monthly-free-birthday-special-1.jpg,Lexicanum | https://wh40k.lexicanum.com/wiki/Warhammer_Monthly_Gratis_Birthday_Issue | confidence=high | Original special cover verified from the Lexicanum Warhammer Monthly index.
VIEW-deathwing-special-promotional-issue-1,Warhammer Monthly Awesome Full Color Promo Issue,Warhammer Monthly,Awesome Full Color Promo Issue,needs_review,issue_number_not_in_source,Could not find issue number Awesome Full Color Promo Issue in the image/source URL text.,https://wh40k.lexicanum.com/mediawiki/images/5/5f/Warhammer_Monthly_Awesome_Full_Color_Promo_Issue.jpg,assets/covers/display/VIEW-deathwing-special-promotional-issue-1.jpg,Lexicanum | https://wh40k.lexicanum.com/wiki/Warhammer_Monthly_Awesome_Full_Color_Promo_Issue | confidence=high | Original promo cover verified from the Lexicanum Warhammer Monthly index.
