order_type,sequence,scope_id,item_id,work,issue_number,publication_id,role,continuity_status,continuity_confidence,owned,ownership_status,original_owned,facsimile_owned,ordered,readable_via_collection,missing,edition_status,shopping_status,shopping_priority,source_url,notes
chronological,013,extended_miller_dkr_related,all_star_batman_robin,All Star Batman & Robin the Boy Wonder,4,PUB-ASBAR-0004,extended_related,unfinished extended continuity,review,No,MISSING,No,No,No,No,Yes,,,,https://en.wikipedia.org/wiki/All_Star_Batman_%26_Robin%2C_the_Boy_Wonder,Young Batman/Dick Grayson origin material; Miller-supported DKR relation but contradictions exist.
chronological,014,extended_miller_dkr_related,all_star_batman_robin,All Star Batman & Robin the Boy Wonder,5,PUB-ASBAR-0005,extended_related,unfinished extended continuity,review,No,MISSING,No,No,No,No,Yes,,,,https://en.wikipedia.org/wiki/All_Star_Batman_%26_Robin%2C_the_Boy_Wonder,Young Batman/Dick Grayson origin material; Miller-supported DKR relation but contradictions exist.
chronological,015,extended_miller_dkr_related,all_star_batman_robin,All Star Batman & Robin the Boy Wonder,6,PUB-ASBAR-0006,extended_related,unfinished extended continuity,review,No,MISSING,No,No,No,No,Yes,,,,https://en.wikipedia.org/wiki/All_Star_Batman_%26_Robin%2C_the_Boy_Wonder,Young Batman/Dick Grayson origin material; Miller-supported DKR relation but contradictions exist.
chronological,016,extended_miller_dkr_related,all_star_batman_robin,All Star Batman & Robin the Boy Wonder,7,PUB-ASBAR-0007,extended_related,unfinished extended continuity,review,No,MISSING,No,No,No,No,Yes,,,,https://en.wikipedia.org/wiki/All_Star_Batman_%26_Robin%2C_the_Boy_Wonder,Young Batman/Dick Grayson origin material; Miller-supported DKR relation but contradictions exist.
chronological,017,extended_miller_dkr_related,all_star_batman_robin,All Star Batman & Robin the Boy Wonder,8,PUB-ASBAR-0008,extended_related,unfinished extended continuity,review,No,MISSING,No,No,No,No,Yes,,,,https://en.wikipedia.org/wiki/All_Star_Batman_%26_Robin%2C_the_Boy_Wonder,Young Batman/Dick Grayson origin material; Miller-supported DKR relation but contradictions exist.
chronological,018,extended_miller_dkr_related,all_star_batman_robin,All Star Batman & Robin the Boy Wonder,9,PUB-ASBAR-0009,extended_related,unfinished extended continuity,review,No,MISSING,No,No,No,No,Yes,,,,https://en.wikipedia.org/wiki/All_Star_Batman_%26_Robin%2C_the_Boy_Wonder,Young Batman/Dick Grayson origin material; Miller-supported DKR relation but contradictions exist.
chronological,019,extended_miller_dkr_related,all_star_batman_robin,All Star Batman & Robin the Boy Wonder,10,PUB-ASBAR-0010,extended_related,unfinished extended continuity,review,No,MISSING,No,No,No,No,Yes,,,,https://en.wikipedia.org/wiki/All_Star_Batman_%26_Robin%2C_the_Boy_Wonder,Published run ends here; narrative unfinished.
chronological,020,complete_dkr_continuity,dark_knight_last_crusade,Dark Knight Returns: The Last Crusade,1,PUB-DKR-LAST-CRUSADE-0001,prequel,core DKR continuity,verified,No,MISSING,No,No,No,No,Yes,,,,https://en.wikipedia.org/wiki/The_Dark_Knight_Returns,Takes place ten years before DKR.
chronological,030,core_batman_saga,dark_knight_returns,The Dark Knight Returns,1,PUB-DKR-0001,core,core DKR continuity,verified,No,MISSING,No,No,No,No,Yes,,,,https://en.wikipedia.org/wiki/The_Dark_Knight_Returns,Original miniseries #1.
chronological,031,core_batman_saga,dark_knight_returns,The Dark Knight Returns,2,PUB-DKR-0002,core,core DKR continuity,verified,No,MISSING,No,No,No,No,Yes,,,,https://en.wikipedia.org/wiki/The_Dark_Knight_Returns,Original miniseries #2.
chronological,032,core_batman_saga,dark_knight_returns,The Dark Knight Returns,3,PUB-DKR-0003,core,core DKR continuity,verified,No,MISSING,No,No,No,No,Yes,,,,https://en.wikipedia.org/wiki/The_Dark_Knight_Returns,Original miniseries #3.
chronological,033,core_batman_saga,dark_knight_returns,The Dark Knight Returns,4,PUB-DKR-0004,core,core DKR continuity,verified,No,MISSING,No,No,No,No,Yes,,,,https://en.wikipedia.org/wiki/The_Dark_Knight_Returns,Original miniseries #4.
