publication_id,canonical_series,annual_number,publication_year,parent_series,era,owned,ownership_status,edition_status,ordered_not_arrived,facsimile_exists,facsimile_owned,item_memberships,included_in_modern_local_annuals,excluded_from_modern_local_annuals,exclusion_reason,shopping_status,shopping_priority,source,confidence,notes
PUB-ROBIN-V2-ANN-0002,Robin (Vol. 2) Annual,2,1993,Robin,Modern local Era,Yes,OWNED,OWNED - EDITION UNCLASSIFIED,No,No,No,modern_local_annuals,Yes,No,,OWNED,,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,verified,Bloodlines Earthplague chapter.; Collection sheet: Batman row 621; Annual publication reference: PUB-ROBIN-V2-ANN-0002
PUB-BAT-ANN-0018,Batman Annual,18,1994,Batman,Modern local Era,Yes,OWNED,OWNED - EDITION UNCLASSIFIED,No,No,No,batman_annual_complete_run; modern_local_annuals,Yes,No,,OWNED,HIGH,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Also included in Modern local Era Annuals.; Collection sheet: Batman row 328; Annual publication reference: PUB-BAT-ANN-0018
PUB-LOTDK-ANN-0004,Batman: Legends of the Dark Knight Annual,4,1994,Batman: Legends of the Dark Knight,Modern local Era,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,modern_local_annuals,Yes,No,,BUY,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Annual publication reference: PUB-LOTDK-ANN-0004
PUB-SOTB-ANN-0002,Batman: Shadow of the Bat Annual,2,1994,Batman: Shadow of the Bat,Modern local Era,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,modern_local_annuals,Yes,No,,BUY,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Annual publication reference: PUB-SOTB-ANN-0002
PUB-CATWOMAN-V2-ANN-0001,Catwoman (Vol.2) Annual,1,1994,Catwoman,Modern local Era,Yes,OWNED,OWNED - EDITION UNCLASSIFIED,No,No,No,modern_local_annuals,Yes,No,,OWNED,,https://en.wikipedia.org/wiki/Catwoman,verified,Catwoman Annual #1-4 published 1994-1997.; Collection sheet: Batman row 411; Annual publication reference: PUB-CATWOMAN-V2-ANN-0001
PUB-DET-ANN-0007,Detective Comics Annual,7,1994,Detective Comics,Modern local Era,Yes,OWNED,OWNED - EDITION UNCLASSIFIED,No,No,No,modern_local_annuals,Yes,No,,OWNED,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Collection sheet: Batman row 588; Annual publication reference: PUB-DET-ANN-0007
PUB-ROBIN-V2-ANN-0003,Robin (Vol. 2) Annual,3,1994,Robin,Modern local Era,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,modern_local_annuals,Yes,No,,BUY,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Annual publication reference: PUB-ROBIN-V2-ANN-0003
PUB-BATMAN-ADVENTURES-ANN-0001,The Batman Adventures Annual,1,1994,Batman: The Animated Series,Modern local Era,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,annual_reference_universe,No,Yes,"Searchable/adjacent annual, but excluded from the strict Modern local continuity annual completion scope.",OPTIONAL,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Animated local-family annual; searchable but excluded from core Modern local continuity annual total.; Annual publication reference: PUB-BATMAN-ADVENTURES-ANN-0001
PUB-AZRAEL-ANN-0001,Azrael Annual,1,1995,Azrael,Modern local Era,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,modern_local_annuals,Yes,No,,BUY,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Azrael Annual #1-3 published 1995-1997.; Annual publication reference: PUB-AZRAEL-ANN-0001
PUB-BAT-ANN-0019,Batman Annual,19,1995,Batman,Modern local Era,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,batman_annual_complete_run; modern_local_annuals,Yes,No,,BUY,HIGH,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Also included in Modern local Era Annuals.; Annual publication reference: PUB-BAT-ANN-0019
PUB-LOTDK-ANN-0005,Batman: Legends of the Dark Knight Annual,5,1995,Batman: Legends of the Dark Knight,Modern local Era,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,modern_local_annuals,Yes,No,,BUY,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Annual publication reference: PUB-LOTDK-ANN-0005
PUB-SOTB-ANN-0003,Batman: Shadow of the Bat Annual,3,1995,Batman: Shadow of the Bat,Modern local Era,Yes,OWNED,OWNED - EDITION UNCLASSIFIED,No,No,No,modern_local_annuals,Yes,No,,OWNED,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Collection sheet: Batman row 399; Annual publication reference: PUB-SOTB-ANN-0003
PUB-CATWOMAN-V2-ANN-0002,Catwoman (Vol.2) Annual,2,1995,Catwoman,Modern local Era,Yes,OWNED,OWNED - EDITION UNCLASSIFIED,No,No,No,modern_local_annuals,Yes,No,,OWNED,,https://en.wikipedia.org/wiki/Catwoman,verified,Collection sheet: Batman row 412; Annual publication reference: PUB-CATWOMAN-V2-ANN-0002
PUB-DET-ANN-0008,Detective Comics Annual,8,1995,Detective Comics,Modern local Era,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,modern_local_annuals,Yes,No,,BUY,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Annual publication reference: PUB-DET-ANN-0008
PUB-ROBIN-V2-ANN-0004,Robin (Vol. 2) Annual,4,1995,Robin,Modern local Era,Yes,OWNED,OWNED - EDITION UNCLASSIFIED,No,No,No,modern_local_annuals,Yes,No,,OWNED,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Collection sheet: Batman row 622; Annual publication reference: PUB-ROBIN-V2-ANN-0004
PUB-BATMAN-ADVENTURES-ANN-0002,The Batman Adventures Annual,2,1995,Batman: The Animated Series,Modern local Era,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,annual_reference_universe,No,Yes,"Searchable/adjacent annual, but excluded from the strict Modern local continuity annual completion scope.",OPTIONAL,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Animated local-family annual; searchable but excluded from core Modern local continuity annual total.; Annual publication reference: PUB-BATMAN-ADVENTURES-ANN-0002
PUB-AZRAEL-ANN-0002,Azrael Annual,2,1996,Azrael,Modern local Era,Yes,OWNED,OWNED - EDITION UNCLASSIFIED,No,No,No,modern_local_annuals,Yes,No,,OWNED,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Collection sheet: Batman row 168; Annual publication reference: PUB-AZRAEL-ANN-0002
PUB-BATMAN-ROBIN-ADV-ANN-0001,Batman & Robin Adventures Annual,1,1996,The Adventures of Batman & Robin,Modern local Era,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,annual_reference_universe,No,Yes,"Searchable/adjacent annual, but excluded from the strict Modern local continuity annual completion scope.",OPTIONAL,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Animated local-family annual; searchable but excluded from core Modern local continuity annual total.; Annual publication reference: PUB-BATMAN-ROBIN-ADV-ANN-0001
PUB-BAT-ANN-0020,Batman Annual,20,1996,Batman,Modern local Era,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,batman_annual_complete_run; modern_local_annuals,Yes,No,,BUY,HIGH,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Also included in Modern local Era Annuals.; Annual publication reference: PUB-BAT-ANN-0020
PUB-LOTDK-ANN-0006,Batman: Legends of the Dark Knight Annual,6,1996,Batman: Legends of the Dark Knight,Modern local Era,Yes,OWNED,OWNED - EDITION UNCLASSIFIED,No,No,No,modern_local_annuals,Yes,No,,OWNED,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Collection sheet: Batman row 397; Annual publication reference: PUB-LOTDK-ANN-0006
PUB-SOTB-ANN-0004,Batman: Shadow of the Bat Annual,4,1996,Batman: Shadow of the Bat,Modern local Era,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,modern_local_annuals,Yes,No,,BUY,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Annual publication reference: PUB-SOTB-ANN-0004
PUB-CATWOMAN-V2-ANN-0003,Catwoman (Vol.2) Annual,3,1996,Catwoman,Modern local Era,Yes,OWNED,OWNED - EDITION UNCLASSIFIED,No,No,No,modern_local_annuals,Yes,No,,OWNED,,https://en.wikipedia.org/wiki/Catwoman,verified,Collection sheet: Batman row 413; Annual publication reference: PUB-CATWOMAN-V2-ANN-0003
PUB-DET-ANN-0009,Detective Comics Annual,9,1996,Detective Comics,Modern local Era,Yes,OWNED,OWNED - EDITION UNCLASSIFIED,No,No,No,modern_local_annuals,Yes,No,,OWNED,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Collection sheet: Batman row 589; Annual publication reference: PUB-DET-ANN-0009
PUB-ROBIN-V2-ANN-0005,Robin (Vol. 2) Annual,5,1996,Robin,Modern local Era,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,modern_local_annuals,Yes,No,,BUY,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Annual publication reference: PUB-ROBIN-V2-ANN-0005
PUB-AZRAEL-ANN-0003,Azrael Annual,3,1997,Azrael,Modern local Era,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,modern_local_annuals,Yes,No,,BUY,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Annual publication reference: PUB-AZRAEL-ANN-0003
PUB-BATMAN-ROBIN-ADV-ANN-0002,Batman & Robin Adventures Annual,2,1997,The Adventures of Batman & Robin,Modern local Era,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,annual_reference_universe,No,Yes,"Searchable/adjacent annual, but excluded from the strict Modern local continuity annual completion scope.",OPTIONAL,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Animated local-family annual; searchable but excluded from core Modern local continuity annual total.; Annual publication reference: PUB-BATMAN-ROBIN-ADV-ANN-0002
PUB-BAT-ANN-0021,Batman Annual,21,1997,Batman,Modern local Era,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,batman_annual_complete_run; modern_local_annuals,Yes,No,,BUY,HIGH,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Also included in Modern local Era Annuals.; Annual publication reference: PUB-BAT-ANN-0021
PUB-LOTDK-ANN-0007,Batman: Legends of the Dark Knight Annual,7,1997,Batman: Legends of the Dark Knight,Modern local Era,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,modern_local_annuals,Yes,No,,BUY,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Annual publication reference: PUB-LOTDK-ANN-0007
PUB-SOTB-ANN-0005,Batman: Shadow of the Bat Annual,5,1997,Batman: Shadow of the Bat,Modern local Era,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,modern_local_annuals,Yes,No,,BUY,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Annual publication reference: PUB-SOTB-ANN-0005
PUB-CATWOMAN-V2-ANN-0004,Catwoman (Vol.2) Annual,4,1997,Catwoman,Modern local Era,Yes,OWNED,OWNED - EDITION UNCLASSIFIED,No,No,No,modern_local_annuals,Yes,No,,OWNED,,https://en.wikipedia.org/wiki/Catwoman,verified,Collection sheet: Batman row 414; Annual publication reference: PUB-CATWOMAN-V2-ANN-0004
PUB-DET-ANN-0010,Detective Comics Annual,10,1997,Detective Comics,Modern local Era,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,modern_local_annuals,Yes,No,,BUY,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Annual publication reference: PUB-DET-ANN-0010
PUB-NIGHTWING-ANN-0001,Nightwing Annual,1,1997,Nightwing,Modern local Era,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,modern_local_annuals,Yes,No,,BUY,,https://en.wikipedia.org/wiki/List_of_DC_Comics_publications_%28K%E2%80%93O%29,verified,Nightwing Annual #1 published in this era; #2 was much later.; Annual publication reference: PUB-NIGHTWING-ANN-0001
PUB-ROBIN-V2-ANN-0006,Robin (Vol. 2) Annual,6,1997,Robin,Modern local Era,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,modern_local_annuals,Yes,No,,BUY,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Annual publication reference: PUB-ROBIN-V2-ANN-0006
PUB-BAT-ANN-0022,Batman Annual,22,1998,Batman,Modern local Era,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,batman_annual_complete_run; modern_local_annuals,Yes,No,,BUY,HIGH,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Also included in Modern local Era Annuals.; Annual publication reference: PUB-BAT-ANN-0022
PUB-BAT-ANN-0023,Batman Annual,23,1999,Batman,Modern local Era,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,batman_annual_complete_run; modern_local_annuals,Yes,No,,BUY,HIGH,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Also included in Modern local Era Annuals.; Annual publication reference: PUB-BAT-ANN-0023
PUB-BATGIRL-ANN-0001,Batgirl Annual,1,2000,Batgirl,Post-No Man's Land transition,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,annual_reference_universe,No,Yes,Published after the strict 1986-1999 Modern local Era Annuals item.,OPTIONAL,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Post-No Man's Land transition annual; searchable but excluded from strict 1986-1999 Modern local annual total.; Annual publication reference: PUB-BATGIRL-ANN-0001
PUB-BAT-ANN-0024,Batman Annual,24,2000,Batman,Post-No Man's Land transition,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,batman_annual_complete_run,No,Yes,Published after the strict 1986-1999 Modern local Era Annuals item.,BUY,MEDIUM,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Included in Batman Annual complete run; excluded from strict 1986-1999 Modern local Era Annuals.; Annual publication reference: PUB-BAT-ANN-0024
PUB-NIGHTWING-ANN-0002,Nightwing Annual,2,2007,Nightwing,Post-Modern local,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,annual_reference_universe,No,Yes,Published after the strict 1986-1999 Modern local Era Annuals item.,OPTIONAL,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Nightwing has two annuals overall; #2 is out of strict 1986-1999 Modern local annual scope.; Annual publication reference: PUB-NIGHTWING-ANN-0002
PUB-ROBIN-V2-ANN-0007,Robin (Vol. 2) Annual,7,2007,Robin,Post-Modern local,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,annual_reference_universe,No,Yes,Published after the strict 1986-1999 Modern local Era Annuals item.,OPTIONAL,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Later Robin annual; searchable but excluded from strict 1986-1999 Modern local annual total.; Annual publication reference: PUB-ROBIN-V2-ANN-0007
