publication_id,canonical_title,series_title,issue_number,publication_year,publication_date,format_type,continuity_type,universe_setting,item_id,parent_item_id,story_name,character_focus,owned,ownership_status,ordered,edition_status,readable_via_collection,shopping_status,shopping_priority,source,confidence,notes
PUB-BAT-THRILLKILLER-0003,Batgirl and Robin: Thrillkiller,Batgirl and Robin: Thrillkiller,3,1997,1997-03,MINISERIES,ELSEWORLDS,Thrillkiller,batman_thrillkiller,batman_local_elseworlds_1989_1999,Thrillkiller,Batgirl / Robin,No,MISSING,No,,No,,,https://en.wikipedia.org/wiki/List_of_Elseworlds_publications,verified,Issue 3 of 3.
PUB-BATMAN-SECRET-FILES-ORIGINS-0001,Batman Secret Files and Origins,Batman Secret Files and Origins,1,1997,1997-10,SECRET_FILES,MAIN_CONTINUITY,Post-Crisis local,modern_local_specials_one_shots,modern_local_special_format_universe,Batman Secret Files and Origins,Batman,No,MISSING,No,,No,,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Secret Files reference issue.
PUB-ELSEWORLDS-FINEST-0001,Elseworld's Finest,Elseworld's Finest,1,1997,1997-10,MINISERIES,ELSEWORLDS,1920s pulp,batman_local_elseworlds_1989_1999,modern_local_special_format_universe,Elseworld's Finest,Batman / Superman,No,MISSING,No,,No,,,https://en.wikipedia.org/wiki/List_of_Elseworlds_publications,verified,Issue 1 of 2.
PUB-ELSEWORLDS-FINEST-0002,Elseworld's Finest,Elseworld's Finest,2,1997,1997-11,MINISERIES,ELSEWORLDS,1920s pulp,batman_local_elseworlds_1989_1999,modern_local_special_format_universe,Elseworld's Finest,Batman / Superman,No,MISSING,No,,No,,,https://en.wikipedia.org/wiki/List_of_Elseworlds_publications,verified,Issue 2 of 2.
PUB-BATMAN-HUNTRESS-SPOILER-BLUNT-TRAUMA-0001,Batman/Huntress/Spoiler: Blunt Trauma,Batman/Huntress/Spoiler: Blunt Trauma,1,1998,,ONE_SHOT,MAIN_CONTINUITY,Cataclysm,cataclysm,modern_local_special_format_universe,Blunt Trauma,Huntress / Spoiler,No,MISSING,No,,No,,,https://en.wikipedia.org/wiki/Batman%3A_Cataclysm,verified,Cataclysm one-shot.
PUB-BAT-SCARECROW-3D,Batman/Scarecrow 3-D,Batman/Scarecrow 3-D,,1998,,ONE_SHOT,CONTINUITY_UNCERTAIN,3-D special,modern_local_specials_one_shots,modern_local_special_format_universe,Batman/Scarecrow 3-D,Batman / Scarecrow,No,MISSING,No,,No,,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Standalone 3-D special.
PUB-BATMAN-ARKHAM-ASYLUM-TALES-OF-MADNESS-0001,Batman: Arkham Asylum - Tales of Madness,Batman: Arkham Asylum - Tales of Madness,1,1998,,ONE_SHOT,MAIN_CONTINUITY,Cataclysm,cataclysm,modern_local_special_format_universe,Tales of Madness,Arkham Asylum,Yes,OWNED,No,OWNED - EDITION UNCLASSIFIED,No,OWNED,,https://en.wikipedia.org/wiki/Batman%3A_Cataclysm,verified,Cataclysm one-shot.
PUB-BAT-BLACKGATE-ISLE-OF-MEN-0001,Batman: Blackgate - Isle of Men,Batman: Blackgate - Isle of Men,1,1998,,ONE_SHOT,MAIN_CONTINUITY,Cataclysm,cataclysm,modern_local_special_format_universe,Blackgate - Isle of Men,Batman / local,Yes,OWNED,No,OWNED - EDITION UNCLASSIFIED,No,OWNED,,https://en.wikipedia.org/wiki/Batman%3A_Cataclysm,verified,Cataclysm one-shot.
PUB-BAT-CRIMSON-MIST,Batman: Crimson Mist,Batman: Crimson Mist,,1998,,GRAPHIC_NOVEL,ELSEWORLDS,Batman Vampire,batman_local_elseworlds_1989_1999,modern_local_special_format_universe,Crimson Mist,Batman,No,MISSING,No,,No,,,https://en.wikipedia.org/wiki/List_of_Elseworlds_publications,verified,Third Batman Vampire trilogy book.
PUB-BAT-SCOTTISH-CONNECTION,Batman: Scottish Connection,Batman: Scottish Connection,,1998,,GRAPHIC_NOVEL,CONTINUITY_UNCERTAIN,Scotland,modern_local_specials_one_shots,modern_local_special_format_universe,Scottish Connection,Batman,Yes,OWNED,No,OWNED PUBLICATION,No,OWNED,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Owned original graphic novel; continuity not forced to main.
PUB-BAT-THRILLKILLER-62,Batgirl and Batman: Thrillkiller '62,Batgirl and Batman: Thrillkiller '62,,1998,1998-02,ONE_SHOT,ELSEWORLDS,Thrillkiller,batman_thrillkiller,batman_local_elseworlds_1989_1999,Thrillkiller '62,Batgirl / Batman,No,MISSING,No,,No,,,https://en.wikipedia.org/wiki/List_of_Elseworlds_publications,verified,Sequel and conclusion to Batgirl and Robin: Thrillkiller #1-3.
PUB-BAT-80-PAGE-GIANT-0001,Batman 80-Page Giant,Batman 80-Page Giant,1,1998,1998-08,GIANT,MAIN_CONTINUITY,Post-Crisis local,modern_local_specials_one_shots,modern_local_special_format_universe,Batman 80-Page Giant,Batman,No,MISSING,No,,No,,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Annual-style giant; not an ordinary ongoing issue.
PUB-BATMAN-VILLAINS-SFO-0001,Batman Villains Secret Files and Origins,Batman Villains Secret Files and Origins,1,1998,1998-10,SECRET_FILES,MAIN_CONTINUITY,Post-Crisis local,modern_local_specials_one_shots,modern_local_special_format_universe,Batman Villains Secret Files and Origins,Batman villains,No,MISSING,No,,No,,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Villain-focused Secret Files issue.
PUB-BAT-80-PAGE-GIANT-0002,Batman 80-Page Giant,Batman 80-Page Giant,2,1999,,GIANT,MAIN_CONTINUITY,Post-Crisis local,modern_local_specials_one_shots,modern_local_special_format_universe,Batman 80-Page Giant,Batman,No,MISSING,No,,No,,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Second 80-Page Giant within 1986-1999 scope.
PUB-BAT-BOOK-OF-THE-DEAD,Batman: Book of the Dead,Batman: Book of the Dead,,1999,,GRAPHIC_NOVEL,ELSEWORLDS,Egyptian archaeology Elseworld,batman_local_elseworlds_1989_1999,modern_local_special_format_universe,Book of the Dead,Batman,No,MISSING,No,,No,,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Published under Elseworlds logo.
PUB-BATMAN-NML-GROUND-ZERO-0001,Batman: No Man's Land - Ground Zero,Batman: No Man's Land - Ground Zero,1,1999,,ONE_SHOT,MAIN_CONTINUITY,No Man's Land,no_mans_land,modern_local_special_format_universe,Ground Zero,Batman / local,No,MISSING,No,,No,,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,No Man's Land special publication.
PUB-BATMAN-NML-SFO-0001,Batman: No Man's Land Secret Files and Origins,Batman: No Man's Land Secret Files and Origins,1,1999,,SECRET_FILES,MAIN_CONTINUITY,No Man's Land,no_mans_land,modern_local_special_format_universe,No Man's Land Secret Files,Batman / local,No,MISSING,No,,No,,,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,verified,No Man's Land Secret Files issue.
PUB-BAT-REIGN-OF-TERROR,Batman: Reign of Terror,Batman: Reign of Terror,,1999,,GRAPHIC_NOVEL,ELSEWORLDS,French Revolution Elseworld,batman_local_elseworlds_1989_1999,modern_local_special_format_universe,Reign of Terror,Batman,No,MISSING,No,,No,,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Published under Elseworlds logo.
PUB-GOTHAM-CITY-SFO-0001,local City Secret Files and Origins,local City Secret Files and Origins,1,1999,,SECRET_FILES,MAIN_CONTINUITY,No Man's Land,modern_local_specials_one_shots,modern_local_special_format_universe,local City Secret Files and Origins,local City,Yes,OWNED,No,OWNED - EDITION UNCLASSIFIED,No,OWNED,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Owned row uses title with embedded issue number.
PUB-SUPERMAN-BATMAN-GENERATIONS-0001,Superman & Batman: Generations,Superman & Batman: Generations,1,1999,1999-01,LIMITED_SERIES,ELSEWORLDS,Generations,batman_local_elseworlds_1989_1999,modern_local_special_format_universe,Generations,Batman / Superman,No,MISSING,No,,No,,,https://en.wikipedia.org/wiki/List_of_DC_Comics_publications_%28P%E2%80%93S%29,verified,Issue 1 of 4.
PUB-SUPERMAN-BATMAN-GENERATIONS-0002,Superman & Batman: Generations,Superman & Batman: Generations,2,1999,1999-02,LIMITED_SERIES,ELSEWORLDS,Generations,batman_local_elseworlds_1989_1999,modern_local_special_format_universe,Generations,Batman / Superman,No,MISSING,No,,No,,,https://en.wikipedia.org/wiki/List_of_DC_Comics_publications_%28P%E2%80%93S%29,verified,Issue 2 of 4.
PUB-BATMAN-NML-0001,Batman: No Man's Land,Batman: No Man's Land,1,1999,1999-03,SPECIAL,MAIN_CONTINUITY,No Man's Land,no_mans_land,modern_local_special_format_universe,No Man's Land,Batman / local,No,MISSING,No,,No,,,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,verified,No Man's Land special issue.
PUB-SUPERMAN-BATMAN-GENERATIONS-0003,Superman & Batman: Generations,Superman & Batman: Generations,3,1999,1999-03,LIMITED_SERIES,ELSEWORLDS,Generations,batman_local_elseworlds_1989_1999,modern_local_special_format_universe,Generations,Batman / Superman,No,MISSING,No,,No,,,https://en.wikipedia.org/wiki/List_of_DC_Comics_publications_%28P%E2%80%93S%29,verified,Issue 3 of 4.
PUB-SUPERMAN-BATMAN-GENERATIONS-0004,Superman & Batman: Generations,Superman & Batman: Generations,4,1999,1999-04,LIMITED_SERIES,ELSEWORLDS,Generations,batman_local_elseworlds_1989_1999,modern_local_special_format_universe,Generations,Batman / Superman,No,MISSING,No,,No,,,https://en.wikipedia.org/wiki/List_of_DC_Comics_publications_%28P%E2%80%93S%29,verified,Issue 4 of 4.
PUB-BATMAN-HARLEY-QUINN-0001,Batman: Harley Quinn,Batman: Harley Quinn,1,1999,1999-10,ONE_SHOT,MAIN_CONTINUITY,No Man's Land,no_mans_land,modern_local_special_format_universe,Batman: Harley Quinn,Harley Quinn,No,MISSING,No,,No,,,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,verified,Official first mainstream DC Universe appearance of Harley Quinn.
PUB-BATMAN-NML-0000,Batman: No Man's Land,Batman: No Man's Land,0,1999,1999-12,SPECIAL,MAIN_CONTINUITY,No Man's Land,no_mans_land,modern_local_special_format_universe,No Man's Land,Batman / local,No,MISSING,No,,No,,,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,verified,Reverse numbering is intentional.
