publication_id,title,issue_number,publication_date,scope_item_id,scope_id,scope_name,industry_age,batman_era,publication_type,continuity_type,batman_role,new_or_reprint_content,owned,ownership_status,ordered,edition_status,facsimile_exists,facsimile_owned,shopping_status,shopping_priority,gap_priority,gap_reason,source,confidence,notes
PUB-BAT-0255,Batman,255,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0256,Batman,256,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0257,Batman,257,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0258,Batman,258,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0259,Batman,259,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0260,Batman,260,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0261,Batman,261,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0262,Batman,262,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0263,Batman,263,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0264,Batman,264,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0265,Batman,265,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Adjacent to an owned run.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0266,Batman,266,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,Yes,OWNED,No,OWNED - EDITION UNCLASSIFIED,No,No,OWNED,LOW,OWNED,Already owned.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0267,Batman,267,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Adjacent to an owned run.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0268,Batman,268,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0269,Batman,269,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0270,Batman,270,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0271,Batman,271,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0272,Batman,272,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0273,Batman,273,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0274,Batman,274,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0275,Batman,275,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0276,Batman,276,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0277,Batman,277,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0278,Batman,278,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0279,Batman,279,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0280,Batman,280,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0281,Batman,281,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0282,Batman,282,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
