source_tab,source_row,source_title,source_issue,source_story,owned_status,likely_canonical_candidate,reason_unresolved,confidence,recommended_manual_action
Batman,11,Batman The Last Halloween,10,Long Halloween,Yes,Batman: The Chalice (PUB-BAT-CHALICE),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,Low,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,149,Vengeance of Bane,2,Knightsend,Yes,Vengeance of Bane #2 (PUB-VENGEANCE-OF-BANE-0002),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,High,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,167,Batman - Bane,,Legacy,Yes,Batman: Bane #1 (PUB-BAT-BANE-0001),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,High,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,168,Azrael Annual,2,TBC,Yes,Azrael Annual #2 (PUB-AZRAEL-ANN-0002),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,High,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,173,Bane Conquest 01,,Bane Conquest,Yes,Batman: Crimson Mist (PUB-BAT-CRIMSON-MIST),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,Low,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,174,Bane Conquest 02,,Bane Conquest,Yes,Batman: Crimson Mist (PUB-BAT-CRIMSON-MIST),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,Low,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,175,Bane Conquest 03,,Bane Conquest,Yes,Batman: Crimson Mist (PUB-BAT-CRIMSON-MIST),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,Low,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,176,Bane Conquest 04,,Bane Conquest,Yes,Batman: Crimson Mist (PUB-BAT-CRIMSON-MIST),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,Low,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,177,Bane Conquest 05,,Bane Conquest,Yes,Batman: Crimson Mist (PUB-BAT-CRIMSON-MIST),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,Low,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,178,Bane Conquest 06,,Bane Conquest,Yes,Batman: Crimson Mist (PUB-BAT-CRIMSON-MIST),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,Low,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,179,Bane Conquest 07,,Bane Conquest,Yes,Batman: Crimson Mist (PUB-BAT-CRIMSON-MIST),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,Low,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,180,Bane Conquest 08,,Bane Conquest,Yes,Batman: Crimson Mist (PUB-BAT-CRIMSON-MIST),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,Low,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,181,Bane Conquest 09,,Bane Conquest,Yes,Batman: Crimson Mist (PUB-BAT-CRIMSON-MIST),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,Low,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,182,Bane Conquest 10,,Bane Conquest,Yes,Batman: Crimson Mist (PUB-BAT-CRIMSON-MIST),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,Low,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,183,Bane Conquest 11,,Bane Conquest,Yes,Batman: Crimson Mist (PUB-BAT-CRIMSON-MIST),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,Low,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,184,Bane Conquest 12,,Bane Conquest,Yes,Batman: Crimson Mist (PUB-BAT-CRIMSON-MIST),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,Low,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,191,Batman - Spawn,,N/A,Yes,Batman: Bane #1 (PUB-BAT-BANE-0001),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,Medium,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,192,Batman - The Spirit,,N/A,Yes,Batman/The Spirit (PUB-BAT-THE-SPIRIT),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,High,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,327,Batman Annual,17,TBC,Yes,Batman Annual #17 (PUB-BAT-ANN-0017),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,High,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,328,Batman Annual,18,TBC,Yes,Batman Annual #18 (PUB-BAT-ANN-0018),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,High,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,331,Batman Arkham Asylum Tales of Madness,1,TBC,Yes,Batman: Arkham Asylum - Tales of Madness #1 (PUB-BATMAN-ARKHAM-ASYLUM-TALES-OF-MADNESS-0001),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,High,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,332,Batman Beyond,1,TBC,Yes,Batman: Bane #1 (PUB-BAT-BANE-0001),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,Medium,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,351,Batman Legends,35,TBC,Yes,Batman: Bloodstorm (PUB-BAT-BLOODSTORM),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,Low,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,352,Batman Legends,46,TBC,Yes,Batman: Bloodstorm (PUB-BAT-BLOODSTORM),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,Low,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,358,Batman: Cult,1,Cult,Yes,Batman Annual #1 (PUB-BAT-ANN-0001),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,Medium,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,359,Batman: Cult,2,Cult,Yes,Batman Annual #2 (PUB-BAT-ANN-0002),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,Medium,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,360,Batman: Cult,3,Cult,Yes,Batman Annual #3 (PUB-BAT-ANN-0003),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,Medium,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,361,Batman: Cult,4,Cult,Yes,Batman Annual #4 (PUB-BAT-ANN-0004),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,Medium,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,394,Batman: Legends of the Dark Knight Annual,1,TBC,Yes,Batman: Legends of the Dark Knight Annual #1 (PUB-LOTDK-ANN-0001),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,High,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,395,Batman: Legends of the Dark Knight Annual,2,TBC,Yes,Batman: Legends of the Dark Knight Annual #2 (PUB-LOTDK-ANN-0002),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,High,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,396,Batman: Legends of the Dark Knight Annual,3,TBC,Yes,Batman: Legends of the Dark Knight Annual #3 (PUB-LOTDK-ANN-0003),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,High,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,397,Batman: Legends of the Dark Knight Annual,6,TBC,Yes,Batman: Legends of the Dark Knight Annual #6 (PUB-LOTDK-ANN-0006),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,High,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,398,Batman: Shadow of the Bat Annual,1,Bloodlines,Yes,Batman: Shadow of the Bat Annual #1 (PUB-SOTB-ANN-0001),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,High,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,399,Batman: Shadow of the Bat Annual,3,Year One,Yes,Batman: Shadow of the Bat Annual #3 (PUB-SOTB-ANN-0003),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,High,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,411,Catwoman (Vol.2) Annual,1,TBC,Yes,Catwoman (Vol.2) Annual #1 (PUB-CATWOMAN-V2-ANN-0001),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,High,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,412,Catwoman (Vol.2) Annual,2,TBC,Yes,Catwoman (Vol.2) Annual #2 (PUB-CATWOMAN-V2-ANN-0002),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,High,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,413,Catwoman (Vol.2) Annual,3,TBC,Yes,Catwoman (Vol.2) Annual #3 (PUB-CATWOMAN-V2-ANN-0003),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,High,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,414,Catwoman (Vol.2) Annual,4,TBC,Yes,Catwoman (Vol.2) Annual #4 (PUB-CATWOMAN-V2-ANN-0004),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,High,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,506,Catwoman + Screamqueen,,N/A,Yes,Catwoman Plus/Scream Queen (PUB-CATWOMAN-PLUS-SCREAM-QUEEN),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,Medium,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,512,Catwoman: When In Rome,1,When In Rome,Yes,Batman: The Killing Joke #1 (PUB-BAT-KILLING-JOKE-0001),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,Low,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,513,Catwoman: When In Rome,2,When In Rome,Yes,Catwoman (Vol.2) Annual #2 (PUB-CATWOMAN-V2-ANN-0002),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,Low,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,514,Catwoman: When In Rome,3,When In Rome,Yes,Catwoman (Vol.2) Annual #3 (PUB-CATWOMAN-V2-ANN-0003),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,Low,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,515,Catwoman: When In Rome,4,When In Rome,Yes,Catwoman (Vol.2) Annual #4 (PUB-CATWOMAN-V2-ANN-0004),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,Low,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,516,Catwoman: When In Rome,5,When In Rome,Yes,Catwoman: Defiant (PUB-CATWOMAN-DEFIANT),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,Low,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,517,Catwoman: When In Rome,6,When In Rome,Yes,Catwoman: Defiant (PUB-CATWOMAN-DEFIANT),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,Low,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,621,Robin (Vol. 2) Annual,2,Bloodlines,Yes,Robin (Vol. 2) Annual #2 (PUB-ROBIN-V2-ANN-0002),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,High,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,622,Robin (Vol. 2) Annual,4,Year One,Yes,Robin (Vol. 2) Annual #4 (PUB-ROBIN-V2-ANN-0004),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,High,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,633,Robin II,1,Joker's Wild,Yes,Robin (Vol. 2) Annual #1 (PUB-ROBIN-V2-ANN-0001),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,Low,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,634,Robin II,2,Joker's Wild,Yes,Robin (Vol. 2) Annual #2 (PUB-ROBIN-V2-ANN-0002),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,Low,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,635,Robin II,3,Joker's Wild,Yes,Robin (Vol. 2) Annual #3 (PUB-ROBIN-V2-ANN-0003),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,Low,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,636,Robin II,4,Joker's Wild,Yes,Robin (Vol. 2) Annual #4 (PUB-ROBIN-V2-ANN-0004),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,Low,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,643,Secret Origins,6,N/A,Yes,Batman: Seduction of the Gun (PUB-BAT-SEDUTION-GUN),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,Low,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,653,Spawn - Batman,,N/A,Yes,Spawn/Batman #1 (PUB-SPAWN-BATMAN-0001),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,High,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,669,The Untold Legend Of the Batman,1,Untold Legend,Yes,The Untold Legend Of the Batman #1 (PUB-UNTOLD-LEGEND-0001),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,High,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,670,The Untold Legend Of the Batman,2,Untold Legend,Yes,The Untold Legend Of the Batman #2 (PUB-UNTOLD-LEGEND-0002),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,High,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,671,The Untold Legend Of the Batman,3,Untold Legend,Yes,The Untold Legend Of the Batman #3 (PUB-UNTOLD-LEGEND-0003),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,High,Add or verify publication_aliases.csv and special_publications.csv mapping.
Other,7,Action Comics,611,Catwoman,Yes,Batman: Crimson Mist (PUB-BAT-CRIMSON-MIST),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,Low,Add or verify publication_aliases.csv and special_publications.csv mapping.
Other,8,Action Comics,612,Catwoman,Yes,Batman: Crimson Mist (PUB-BAT-CRIMSON-MIST),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,Low,Add or verify publication_aliases.csv and special_publications.csv mapping.
Other,9,Action Comics,613,Catwoman,Yes,Batman: Crimson Mist (PUB-BAT-CRIMSON-MIST),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,Low,Add or verify publication_aliases.csv and special_publications.csv mapping.
Other,10,Action Comics,614,Catwoman,Yes,Batman: Crimson Mist (PUB-BAT-CRIMSON-MIST),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,Low,Add or verify publication_aliases.csv and special_publications.csv mapping.
