item_id,item_name,item_type,parent_item_id,era,start_year,end_year,level_of_coverage,checklist_exists,reading_order_verified,scopes_available,issue_count,owned_count,ordered_count,missing_count,readable_via_collection_count,completion_percentage,source_confidence,last_reviewed,notes
legacy,Batman: Legacy,crossover,,Modern local Era,1996,1996,Level B,Yes,No,default,18,10,0,8,0,55.6,partial,,"Migrated from story_arc_checklists.csv; grouped checklist, not confirmed definitive reading order."
knight_out,Batman: Knight Out,arc,,Modern local Era,1997,1998,Level B,Yes,No,collected_scope,16,0,0,16,0,0.0,verified,,Collected Detective Comics bridge arc between Legacy and Cataclysm.
long_halloween_family,Long Halloween Family,saga,,Modern local Era,1993,2026,Level B,Yes,No,default,48,17,0,31,0,35.4,partial,,Existing curated Long Halloween family checklist.
no_mans_land_saga,No Man's Land Saga,saga,,Modern local Era,1998,1999,Level B,Yes,No,current_metadata,134,4,0,130,0,3.0,verified,,"Parent for Cataclysm, Aftershock, Road to No Man's Land and No Man's Land."
cataclysm,Batman: Cataclysm,crossover,no_mans_land_saga,Modern local Era,1998,1998,Level C,Yes,Yes,core_18_chapter,18,4,0,14,0,22.2,verified,,Verified 18-chapter sequence added in item_memberships.csv.
aftershock,Aftershock,crossover,no_mans_land_saga,Modern local Era,1998,1998,Level B,Yes,No,collected_road_vol_1,16,0,0,16,0,0.0,review,,Aftershock boundary uses Road to No Man's Land Vol. 1 collected contents pending stronger source split.
road_to_no_mans_land,Road to No Man's Land,crossover,no_mans_land_saga,Modern local Era,1998,1999,Level B,Yes,No,complete_collected_scope,15,0,0,15,0,0.0,verified,,Complete collected scope added from Road to No Man's Land contents.
no_mans_land,Batman: No Man's Land,crossover,no_mans_land_saga,Modern local Era,1999,1999,Level B,Yes,No,complete_crossover_scope,86,0,0,86,0,0.0,verified,,Complete crossover membership added from issue list and complete-edition contents; exact inter-title order still not asserted.
zero_hour,Zero Hour: Crisis in Time,event,,Modern local Era,1994,1994,Level B,Yes,No,extended_dc_event,36,12,0,24,0,33.3,partial,,Migrated from event_checklists.csv; grouped sequence is not confirmed reading order.
bloodlines,Bloodlines,event,,Modern local Era,1993,1993,Level B,Yes,No,extended_dc_event,25,10,0,15,0,40.0,partial,,Migrated from event_checklists.csv; grouped sequence is not confirmed reading order.
dc_one_million,DC One Million,event,,Modern local Era,1998,1998,Level A,No,No,research_needed,0,0,0,0,0,0.0,needs_research,,High-priority item placeholder pending verified core/local/complete scopes.
crisis_on_infinite_earths,Crisis on Infinite Earths,event,,Pre Modern local,1985,1986,Level A,No,No,research_needed,0,0,0,0,0,0.0,needs_research,,Core event placeholder pending verified issue membership.
crisis_batman_context,Crisis/Batman Continuity Context,context,crisis_on_infinite_earths,Modern local Era,1986,1987,Level A,No,No,,0,0,0,0,0,0.0,needs_research,,Relationship/context layer for post-Crisis continuity effects; not a direct Year One crossover.
modern_local_annuals,Modern local Era Annuals,annual_item,,Modern local Era,1986,1999,Level B,Yes,No,modern_local_1986_1999,51,25,0,26,0,49.0,verified,,Verified annual publication universe for relevant Batman/local-family annuals in 1986-1999.
batman_annual_complete_run,Batman Annual Complete Run,annual_item,,All Eras,1961,2000,Level B,Yes,No,original_1_24,24,4,0,20,0,16.7,verified,,Complete collecting target for the original Batman Annual #1-24 sequence.
annual_reference_universe,Annual Reference Universe,annual_reference,,All Eras,1961,2011,Level A,Partial,No,searchable_excluded_annuals,9,0,0,9,0,0.0,partial,,Searchable verified annual publications that may sit outside active completion items.
modern_local_year_one_to_knightfall,Modern local: Year One to Knightfall,saga,,Modern local Era,1986,1993,Level B,Yes,No,chronology,234,181,6,45,6,77.4,partial,,Parent chronology for researched Year One-to-Knightfall items; parallel/ambiguous stories are not forced into a single continuity order.
modern_local_numbered_batman_detective_to_nml,Modern local Numbered Batman/Detective to No Man's Land,numbered_run_item,,Modern local Era,1986,1999,Level B,Yes,No,numbered_core,345,195,6,142,6,56.5,verified,,Numbered-run completion target only: Batman #404-574 and Detective Comics #568-741. Excludes annuals specials one-shots miniseries and collected editions.
modern_local_complete_era_coverage_to_nml,Modern local Complete Era Coverage to No Man's Land,coverage_item,,Modern local Era,1986,1999,Level B,Yes,No,complete_era_coverage,609,316,6,285,6,51.9,partial,,Broader era coverage target. Includes numbered run target plus annuals specials one-shots miniseries and story/crossover items; numbered-run completion does not satisfy this target.
legends_crossover,Legends,event,modern_local_year_one_to_knightfall,Modern local Era,1986,1987,Level B,Yes,Yes,verified_membership,8,0,0,8,0,0.0,verified,,Post-Crisis DC event with Batman/Detective tie-ins; full event scope kept separate from local-only scope.
ten_nights_of_the_beast,Ten Nights of the Beast,arc,modern_local_year_one_to_knightfall,Modern local Era,1988,1988,Level B,Yes,No,verified_membership,4,2,0,2,0,50.0,verified,,Collected checklist verified; exact issue-to-issue reading order follows issue numbering.
many_deaths_of_batman,The Many Deaths of the Batman,arc,modern_local_year_one_to_knightfall,Modern local Era,1989,1989,Level B,Yes,No,verified_membership,3,3,0,0,0,100.0,verified,,Collected checklist verified.
blind_justice,Blind Justice,arc,modern_local_year_one_to_knightfall,Modern local Era,1989,1989,Level B,Yes,No,verified_membership,3,0,0,3,0,0.0,verified,,Collected checklist verified.
the_penguin_affair,The Penguin Affair,arc,modern_local_year_one_to_knightfall,Modern local Era,1990,1990,Level B,Yes,No,,2,1,0,1,0,50.0,verified,,Verified issue-level checklist in item_memberships.csv.
dark_knight_dark_city,"Dark Knight, Dark City",arc,modern_local_year_one_to_knightfall,Modern local Era,1990,1990,Level B,Yes,No,verified_membership,4,2,0,2,0,50.0,verified,,Collected checklist verified.
the_idiot_root,The Idiot Root,arc,modern_local_year_one_to_knightfall,Modern local Era,1991,1991,Level B,Yes,No,verified_membership,5,3,0,2,0,60.0,verified,,Collected with Dark Knight Dark City material; treated as separate Detective Comics arc.
destroyer,Destroyer,crossover,modern_local_year_one_to_knightfall,Modern local Era,1992,1992,Level B,Yes,Yes,verified_membership,3,2,0,1,0,66.7,verified,,Three-part Batman/Detective/Legends crossover.
tim_drake_becomes_robin,Tim Drake Becomes Robin,story_sequence,modern_local_year_one_to_knightfall,Modern local Era,1990,1992,Level B,Yes,No,,27,18,0,9,0,66.7,partial,,Character-development sequence from Robin training into Robin II/III and early ongoing transition.
robin_reborn,Robin: Reborn,mini_series,tim_drake_becomes_robin,Modern local Era,1990,1991,Level B,Yes,No,verified_membership,17,14,0,3,0,82.4,verified,,First Tim Drake Robin miniseries and related collected context.
robin_jokers_wild,Robin II: Joker's Wild,mini_series,tim_drake_becomes_robin,Modern local Era,1991,1991,Level B,Yes,No,verified_membership,4,4,0,0,0,100.0,verified,,Second Tim Drake Robin miniseries.
robin_cry_of_the_huntress,Robin III: Cry of the Huntress,mini_series,tim_drake_becomes_robin,Modern local Era,1992,1992,Level B,Yes,No,verified_membership,6,0,0,6,0,0.0,verified,,Third Tim Drake Robin miniseries.
sword_of_azrael,Batman: Sword of Azrael,mini_series,prelude_to_knightfall,Modern local Era,1992,1993,Level B,Yes,No,verified_membership,8,4,0,4,0,50.0,verified,,Azrael setup for Knightfall.
vengeance_of_bane,Batman: Vengeance of Bane,one_shot,prelude_to_knightfall,Modern local Era,1993,1993,Level B,Yes,No,verified_membership,1,1,0,0,0,100.0,verified,,Bane origin/setup for Knightfall.
legends_dark_knight_early,Legends of the Dark Knight: Early Arcs,series_story_map,modern_local_year_one_to_knightfall,Modern local Era,1989,1993,Level B,Yes,No,early_arc_map,35,27,0,8,0,77.1,verified,,Parent for early Legends story arcs through the start of Knightfall.
lotdk_shaman,Batman: Shaman,arc,legends_dark_knight_early,Modern local Era,1989,1990,Level B,Yes,No,verified_membership,5,5,0,0,0,100.0,verified,,Legends of the Dark Knight #1-5.
lotdk_gothic,Batman: Gothic,arc,legends_dark_knight_early,Modern local Era,1990,1990,Level B,Yes,No,verified_membership,5,5,0,0,0,100.0,verified,,Legends of the Dark Knight #6-10.
lotdk_prey,Batman: Prey,arc,legends_dark_knight_early,Modern local Era,1990,1991,Level B,Yes,No,verified_membership,5,5,0,0,0,100.0,verified,,Legends of the Dark Knight #11-15.
lotdk_venom,Batman: Venom,arc,legends_dark_knight_early,Modern local Era,1991,1991,Level B,Yes,No,verified_membership,5,5,0,0,0,100.0,verified,,Legends of the Dark Knight #16-20; Bane/Venom context.
lotdk_faith,Batman: Faith,arc,legends_dark_knight_early,Modern local Era,1991,1991,Level B,Yes,No,verified_membership,3,2,0,1,0,66.7,verified,,Legends of the Dark Knight #21-23.
lotdk_flyer,Batman: Flyer,arc,legends_dark_knight_early,Modern local Era,1991,1991,Level B,Yes,No,verified_membership,3,3,0,0,0,100.0,verified,,Legends of the Dark Knight #24-26.
lotdk_faces,Batman: Faces,arc,legends_dark_knight_early,Modern local Era,1992,1992,Level B,Yes,No,verified_membership,3,0,0,3,0,0.0,verified,,Legends of the Dark Knight #28-30.
lotdk_blades,Batman: Blades,arc,legends_dark_knight_early,Modern local Era,1992,1992,Level B,Yes,No,verified_membership,3,0,0,3,0,0.0,verified,,Legends of the Dark Knight #32-34.
infinite_crisis_buildup,Infinite Crisis Buildup,event_saga,,Infinite Crisis Era,2004,2006,Level B,Yes,No,batman_local_scope; core_buildup; extended_buildup; four_major_miniseries,41,12,0,29,0,29.3,verified,,Parent item for Countdown to Infinite Crisis and verified major lead-in miniseries/scopes.
countdown_to_infinite_crisis,Countdown to Infinite Crisis,one_shot,infinite_crisis_buildup,Infinite Crisis Era,2005,2005,Level B,Yes,No,core_buildup,1,0,0,1,0,0.0,verified,,Official start/prologue to Infinite Crisis lead-up.
the_omac_item,The OMAC Item,mini_series,infinite_crisis_buildup,Infinite Crisis Era,2005,2006,Level B,Yes,No,core_buildup,7,0,0,7,0,0.0,verified,,One of the four major Countdown-era lead-in miniseries.
villains_united,Villains United,mini_series,infinite_crisis_buildup,Infinite Crisis Era,2005,2006,Level B,Yes,No,core_buildup,7,6,0,1,0,85.7,verified,,One of the four major Countdown-era lead-in miniseries.
day_of_vengeance,Day of Vengeance,mini_series,infinite_crisis_buildup,Infinite Crisis Era,2005,2006,Level B,Yes,No,core_buildup,7,6,0,1,0,85.7,verified,,One of the four major Countdown-era lead-in miniseries.
rann_thanagar_war,Rann-Thanagar War,mini_series,infinite_crisis_buildup,Infinite Crisis Era,2005,2006,Level B,Yes,No,core_buildup,7,0,0,7,0,0.0,verified,,One of the four major Countdown-era lead-in miniseries.
identity_crisis_context,Identity Crisis Context,context,infinite_crisis_buildup,Infinite Crisis Era,2004,2005,Level B,Yes,No,core_buildup,7,0,0,7,0,0.0,verified,,Contextual lead-in; not automatically treated as required core buildup.
jla_crisis_of_conscience,JLA: Crisis of Conscience,arc,infinite_crisis_buildup,Infinite Crisis Era,2005,2005,Level B,Yes,No,core_buildup,5,0,0,5,0,0.0,verified,,Direct lead-in context to Infinite Crisis.
