series,annual,publication_year,verified_publication_exists,included_in_modern_gotham_annuals,excluded,exclusion_reason,item_memberships,source,confidence
Robin (Vol. 2) Annual,5,1996,Yes,Yes,No,,modern_gotham_annuals,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified
Azrael Annual,3,1997,Yes,Yes,No,,modern_gotham_annuals,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified
Batman & Robin Adventures Annual,2,1997,Yes,No,Yes,"Searchable/adjacent annual, but excluded from the strict Modern Gotham continuity annual completion scope.",annual_reference_universe,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified
Batman Annual,21,1997,Yes,Yes,No,,batman_annual_complete_run; modern_gotham_annuals,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified
Batman: Legends of the Dark Knight Annual,7,1997,Yes,Yes,No,,modern_gotham_annuals,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified
Batman: Shadow of the Bat Annual,5,1997,Yes,Yes,No,,modern_gotham_annuals,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified
Catwoman (Vol.2) Annual,4,1997,Yes,Yes,No,,modern_gotham_annuals,https://en.wikipedia.org/wiki/Catwoman,verified
Detective Comics Annual,10,1997,Yes,Yes,No,,modern_gotham_annuals,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified
Nightwing Annual,1,1997,Yes,Yes,No,,modern_gotham_annuals,https://en.wikipedia.org/wiki/List_of_DC_Comics_publications_%28K%E2%80%93O%29,verified
Robin (Vol. 2) Annual,6,1997,Yes,Yes,No,,modern_gotham_annuals,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified
Batman Annual,22,1998,Yes,Yes,No,,batman_annual_complete_run; modern_gotham_annuals,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified
Batman Annual,23,1999,Yes,Yes,No,,batman_annual_complete_run; modern_gotham_annuals,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified
Batgirl Annual,1,2000,Yes,No,Yes,Published after the strict 1986-1999 Modern Gotham Era Annuals item.,annual_reference_universe,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified
Batman Annual,24,2000,Yes,No,Yes,Published after the strict 1986-1999 Modern Gotham Era Annuals item.,batman_annual_complete_run,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified
Nightwing Annual,2,2007,Yes,No,Yes,Published after the strict 1986-1999 Modern Gotham Era Annuals item.,annual_reference_universe,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified
Robin (Vol. 2) Annual,7,2007,Yes,No,Yes,Published after the strict 1986-1999 Modern Gotham Era Annuals item.,annual_reference_universe,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified
