DecisionID,Series,Issue,MetadataArc,StoryTitle,PartLabel,MetadataRole,MetadataNotes,SourceURL,DecisionStatus,Notes
META-BATMAN-483,Batman,483,Crash And Burn,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-484,Batman,484,Knightfall,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-485,Batman,485,Knightfall,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-486,Batman,486,Knightfall,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-487,Batman,487,Knightfall,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-488,Batman,488,Knightfall,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-489,Batman,489,Knightfall,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-490,Batman,490,Knightfall,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-491,Batman,491,Knightfall,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-492,Batman,492,Knightfall,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-493,Batman,493,Knightfall,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-494,Batman,494,Knightfall,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-495,Batman,495,Knightfall,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-496,Batman,496,Knightfall,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-497,Batman,497,Knightfall,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-498,Batman,498,Knightfall,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-499,Batman,499,Knightfall,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-500,Batman,500,Knightfall,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-501,Batman,501,Knightquest,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-502,Batman,502,Knightquest,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-503,Batman,503,Knightquest,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-504,Batman,504,Knightquest,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-505,Batman,505,Knightquest,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-506,Batman,506,Knightquest,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-507,Batman,507,Knightquest,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-508,Batman,508,Knightquest,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-509,Batman,509,Knightsend,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-510,Batman,510,Knightsend,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-511,Batman,511,Zero Hour,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-512,Batman,512,Knightsend,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-513,Batman,513,Knightsend,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-514,Batman,514,Knightsend,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-515,Batman,515,Knightsend,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-516,Batman,516,Sleeper,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-517,Batman,517,Sleeper,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-518,Batman,518,Blackmask,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-519,Batman,519,Blackmask,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-520,Batman,520,Blackmask,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-521,Batman,521,Killer Croc,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-522,Batman,522,Killer Croc,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-523,Batman,523,Scarecrow,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-525,Batman,525,Frozen Assets,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-526,Batman,526,Constant Whitewater,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-527,Batman,527,Two-Face,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-528,Batman,528,Two-Face,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-DETECTIVE-COMICS-604,Detective Comics,604,The Mud Pack,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-DETECTIVE-COMICS-605,Detective Comics,605,The Mud Pack,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-DETECTIVE-COMICS-606,Detective Comics,606,The Mud Pack,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-DETECTIVE-COMICS-607,Detective Comics,607,The Mud Pack,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-DETECTIVE-COMICS-618,Detective Comics,618,Robin Reborn,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-DETECTIVE-COMICS-619,Detective Comics,619,Robin Reborn,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-DETECTIVE-COMICS-620,Detective Comics,620,Robin Reborn,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-DETECTIVE-COMICS-621,Detective Comics,621,Robin Reborn,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-DETECTIVE-COMICS-654,Detective Comics,654,Knightfall,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-DETECTIVE-COMICS-655,Detective Comics,655,Knightfall,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-DETECTIVE-COMICS-656,Detective Comics,656,Knightfall,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-DETECTIVE-COMICS-657,Detective Comics,657,Knightfall,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-DETECTIVE-COMICS-658,Detective Comics,658,Knightfall,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-DETECTIVE-COMICS-659,Detective Comics,659,Knightfall,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-DETECTIVE-COMICS-660,Detective Comics,660,Knightfall,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-DETECTIVE-COMICS-661,Detective Comics,661,Knightfall,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-DETECTIVE-COMICS-662,Detective Comics,662,Knightfall,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-DETECTIVE-COMICS-663,Detective Comics,663,Knightfall,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-DETECTIVE-COMICS-664,Detective Comics,664,Knightfall,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-DETECTIVE-COMICS-665,Detective Comics,665,Knightfall,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-DETECTIVE-COMICS-666,Detective Comics,666,Knightfall,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-DETECTIVE-COMICS-667,Detective Comics,667,Knightquest,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-DETECTIVE-COMICS-668,Detective Comics,668,Knightquest,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-DETECTIVE-COMICS-669,Detective Comics,669,Knightquest,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-DETECTIVE-COMICS-670,Detective Comics,670,Knightquest,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-DETECTIVE-COMICS-671,Detective Comics,671,Knightquest,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-DETECTIVE-COMICS-672,Detective Comics,672,Knightquest,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-DETECTIVE-COMICS-673,Detective Comics,673,Knightquest,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-DETECTIVE-COMICS-674,Detective Comics,674,Knightquest,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-DETECTIVE-COMICS-675,Detective Comics,675,Knightquest,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-DETECTIVE-COMICS-676,Detective Comics,676,Knightsend,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-DETECTIVE-COMICS-677,Detective Comics,677,Knightsend,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-DETECTIVE-COMICS-678,Detective Comics,678,Zero Hour,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-DETECTIVE-COMICS-679,Detective Comics,679,Knightsend,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-DETECTIVE-COMICS-680,Detective Comics,680,Knightsend,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-DETECTIVE-COMICS-681,Detective Comics,681,Knightsend,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-DETECTIVE-COMICS-682,Detective Comics,682,Knightsend,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-CATWOMAN-VOL-2-10,Catwoman (Vol.2),10,Untitled: Zephyr storyline,Falling Star,Part 3,core,Conclusion of the Zephyr storyline.,https://dc.fandom.com/wiki/Catwoman_Vol_2_10,Review,Authority review: descriptive_placeholder; Medium confidence. Descriptive placeholder only; no verified official printed arc title located.
META-CATWOMAN-VOL-2-11,Catwoman (Vol.2),11,Untitled: Penn Selkirk storyline,Tin Men,Prelude,core,Introduces Penn Selkirk and the Neural Enabler plot.,https://dc.fandom.com/wiki/Catwoman_Vol_2_11,Review,"Authority review: descriptive_placeholder; Medium confidence. Connected storyline, but no verified official printed umbrella title located."
META-CATWOMAN-VOL-2-12,Catwoman (Vol.2),12,Batman: KnightsEnd,Fire in the Sky,Part 6,crossover,Official KnightsEnd crossover.,https://dc.fandom.com/wiki/Catwoman_Vol_2_12,Review,Imported from story metadata inbox with High confidence. None.
META-CATWOMAN-VOL-2-13,Catwoman (Vol.2),13,KnightsEnd,Catfish,Aftermath,aftermath,Concludes the Selkirk storyline after KnightsEnd.,https://dc.fandom.com/wiki/Catwoman_Vol_2_13,Review,Authority review: crossover_event; High confidence. Use the event title with metadata_role=aftermath rather than treating 'KnightsEnd Aftermath' as a separate official arc title.
META-CATWOMAN-VOL-2-14,Catwoman (Vol.2),14,Zero Hour,Broken Mirrors,Tie-in,crossover,Official Zero Hour crossover.,https://dc.fandom.com/wiki/Catwoman_Vol_2_14,Review,Imported from story metadata inbox with High confidence. None.
META-CATWOMAN-VOL-2-15,Catwoman (Vol.2),15,The Catfile,Kitty Cornered,Part 1 of 5,core,Beginning of The Catfile.,https://dc.fandom.com/wiki/Catwoman_Vol_2_15,Review,Imported from story metadata inbox with High confidence. Collected in Catwoman: The Catfile.
META-CATWOMAN-VOL-2-16,Catwoman (Vol.2),16,The Catfile,Raining Cats,Part 2 of 5,core,Continues The Catfile.,https://dc.fandom.com/wiki/Catwoman_Vol_2_16,Review,Imported from story metadata inbox with High confidence. None.
META-CATWOMAN-VOL-2-17,Catwoman (Vol.2),17,The Catfile,Thief of Paris,Part 3 of 5,core,Continues The Catfile.,https://dc.fandom.com/wiki/Catwoman_Vol_2_17,Review,Imported from story metadata inbox with High confidence. None.
META-CATWOMAN-VOL-2-18,Catwoman (Vol.2),18,The Catfile,Here Comes the Bride,Part 4 of 5,core,Continues The Catfile.,https://dc.fandom.com/wiki/Catwoman_Vol_2_18,Review,Imported from story metadata inbox with High confidence. None.
META-CATWOMAN-VOL-2-19,Catwoman (Vol.2),19,The Catfile,Jungle Cat,Part 5 of 5,core,Conclusion of The Catfile.,https://dc.fandom.com/wiki/Catwoman_Vol_2_19,Review,Imported from story metadata inbox with High confidence. None.
META-CATWOMAN-VOL-2-22,Catwoman (Vol.2),22,Family Ties,Family Ties,Part 1 of 3,core,Beginning of Family Ties.,https://dc.fandom.com/wiki/Catwoman_Vol_2_22,Review,Imported from story metadata inbox with High confidence. None.
META-CATWOMAN-VOL-2-23,Catwoman (Vol.2),23,Family Ties,Family Ties: Loyalties Unbound,Part 2 of 3,core,Continues Family Ties.,https://dc.fandom.com/wiki/Catwoman_Vol_2_23,Review,Imported from story metadata inbox with High confidence. None.
META-CATWOMAN-VOL-2-24,Catwoman (Vol.2),24,Family Ties,Family Ties: Vengeance and Vindication,Part 3 of 3,core,Conclusion of Family Ties.,https://dc.fandom.com/wiki/Catwoman_Vol_2_24,Review,Imported from story metadata inbox with High confidence. None.
META-CATWOMAN-VOL-2-25,Catwoman (Vol.2),25,Standalone,The Crooked House,,standalone,Main feature of anniversary issue.,https://dc.fandom.com/wiki/Catwoman_Vol_2_25,Review,Imported from story metadata inbox with High confidence. Issue also contains backup story Endangered Species.
META-CATWOMAN-VOL-2-26,Catwoman (Vol.2),26,The Secret of the Universe,The Secret of the Universe: Rats,Part 2 of 3,crossover,Middle chapter of Batman/Shadow of the Bat crossover.,https://dc.fandom.com/wiki/Catwoman_Vol_2_26,Review,Imported from story metadata inbox with High confidence. Part 1 is Shadow of the Bat #43 and Part 3 is Shadow of the Bat #44.
META-CATWOMAN-VOL-2-27,Catwoman (Vol.2),27,Underworld Unleashed,Groddspell,Tie-in,tie_in,Official Underworld Unleashed crossover.,https://dc.fandom.com/wiki/Catwoman_Vol_2_27,Review,Imported from story metadata inbox with High confidence. None.
META-CATWOMAN-VOL-2-20,Catwoman (Vol.2),20,Untitled: Film production heist,More Edge More Heart,Part 1 of 2,core,Beginning of a two-part standalone arc involving a stolen screenplay.,https://dc.fandom.com/wiki/Catwoman_Vol_2_20,Review,Authority review: descriptive_placeholder; Medium confidence. Two-part connected story; no verified official printed umbrella title located.
META-CATWOMAN-VOL-2-21,Catwoman (Vol.2),21,Untitled: Film production heist,Box Office Poison,Part 2 of 2,core,Conclusion of the two-part film storyline.,https://dc.fandom.com/wiki/Catwoman_Vol_2_21,Review,Authority review: descriptive_placeholder; Medium confidence. Two-part connected story; no verified official printed umbrella title located.
META-CATWOMAN-VOL-2-28,Catwoman (Vol.2),28,Untitled: Troy Cavanaugh heist,Larceny Loves Company,Part 1,core,Begins Troy Cavanaugh heist storyline.,https://dc.fandom.com/wiki/Catwoman_Vol_2_28,Review,"Authority review: descriptive_placeholder; Medium confidence. Continuous storyline, but no verified official printed umbrella title located."
META-CATWOMAN-VOL-2-29,Catwoman (Vol.2),29,Untitled: Troy Cavanaugh heist,Thieves,Part 2,core,Continues Troy Cavanaugh storyline.,https://dc.fandom.com/wiki/Catwoman_Vol_2_29,Review,"Authority review: descriptive_placeholder; Medium confidence. Continuous storyline, but no verified official printed umbrella title located."
META-CATWOMAN-VOL-2-30,Catwoman (Vol.2),30,Untitled: Troy Cavanaugh heist,The Great Plane Robbery,Part 3,core,Continues Troy Cavanaugh storyline.,https://dc.fandom.com/wiki/Catwoman_Vol_2_30,Review,"Authority review: descriptive_placeholder; Medium confidence. Continuous storyline, but no verified official printed umbrella title located."
